,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,civid
989,365,,Brownley,California,Co,92,INTRODUCED,Senator,
990,365,,Rice,New York,Co,335,INTRODUCED,Senator,
991,365,,Carson,Indiana,Co,202,INTRODUCED,Senator,
992,365,,Price,North Carolina,Co,288,INTRODUCED,Senator,
993,365,,Clark,Massachusetts,Co,347,INTRODUCED,Senator,
994,365,,Frankel,Florida,Co,279,INTRODUCED,Senator,
995,365,,Frankel,Florida,Co,277,INTRODUCED,Senator,
996,365,,Smith,Washington,Co,357,INTRODUCED,Senator,340
997,365,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator,
998,365,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator,
999,365,,Davis,California,Co,403,INTRODUCED,Senator,
1000,365,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
1001,365,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
1002,365,Ted,Lieu,California,Co,378,INTRODUCED,Senator,
1003,365,,Larson,Connecticut,Co,342,INTRODUCED,Senator,
1004,365,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
1005,365,,Brady,Pennsylvania,Co,316,INTRODUCED,Senator,
1006,365,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Senator,
1007,365,,Ryan,Ohio,Co,262,INTRODUCED,Senator,
1008,365,,Larsen,Washington,Co,83,INTRODUCED,Senator,
1009,365,,Castor,Florida,Co,42,INTRODUCED,Senator,
1010,365,,Esty,Connecticut,Co,337,INTRODUCED,Senator,119
1011,367,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
1012,367,,Davis,California,Co,403,INTRODUCED,Senator,
1013,368,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
1014,368,,Brown,Maryland,Co,304,INTRODUCED,Senator,42
1015,368,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator,184
1016,368,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator,184
1017,368,,Clarke,New York,Co,330,INTRODUCED,Senator,
1018,368,,Carson,Indiana,Co,202,INTRODUCED,Senator,
1019,368,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
1020,368,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
1021,368,Al,Green,Texas,Co,132,INTRODUCED,Senator,
1022,368,Al,Green,Texas,Co,128,INTRODUCED,Senator,
1023,368,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1024,368,David,Scott,Georgia,Co,230,INTRODUCED,Senator,328
1025,368,David,Scott,Georgia,Co,216,INTRODUCED,Senator,328
1026,369,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
1027,369,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
1028,369,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
1029,369,David,Scott,Georgia,Co,230,INTRODUCED,Senator,328
1030,369,David,Scott,Georgia,Co,216,INTRODUCED,Senator,328
1031,369,Al,Green,Texas,Co,132,INTRODUCED,Senator,
1032,369,Al,Green,Texas,Co,128,INTRODUCED,Senator,
1033,369,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1034,369,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator,184
1035,369,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator,184
1036,369,,Clarke,New York,Co,330,INTRODUCED,Senator,
1037,369,,Brown,Maryland,Co,304,INTRODUCED,Senator,42
1038,369,,Carson,Indiana,Co,202,INTRODUCED,Senator,
1039,376,,Clarke,New York,Co,330,INTRODUCED,Senator,
1040,376,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
1041,376,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator,
1042,376,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator,
1043,377,,Swalwell,California,Co,361,INTRODUCED,Senator,
1044,377,Judy,Chu,California,Co,388,INTRODUCED,Senator,
1045,377,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1046,377,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Senator,
1047,377,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator,
1048,377,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator,
1049,377,,Sewell,Alabama,Co,172,INTRODUCED,Senator,
1050,377,Al,Green,Texas,Co,132,INTRODUCED,Senator,
