,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername
368,108,,Larson,Connecticut,Co,342,,
369,108,,Lewis,Georgia,Co,221,,
370,108,,Sewell,Alabama,Co,172,,
371,108,,Scott,Virginia,Co,52,,
372,108,,Thompson,Mississippi,Co,155,,
373,108,,Wilson,Florida,Co,278,,
374,108,,Kelly,Illinois,Co,177,,
375,108,Carolyn B,Maloney,New York,Co,329,,
376,108,Carolyn B,Maloney,New York,Co,322,,
377,108,,Graves,Louisiana,Co,152,,
378,108,,Price,North Carolina,Co,288,,
379,109,,Smith,Nebraska,Co,442,,
380,110,,Clarke,New York,Primary,330,,
381,110,Ted,Lieu,California,Co,378,,
382,112,,Lewis,Georgia,Co,221,,
383,112,,Wilson,Florida,Co,278,,
384,112,,Bishop,Georgia,Co,9,,
385,112,,Carson,Indiana,Co,202,,
386,112,,Johnson,Georgia,Co,0,,
387,112,,Lawson,Florida,Co,249,,
388,112,,Brown,Maryland,Co,304,,
389,112,Danny K,Davis,Illinois,Co,187,,
390,112,Danny K,Davis,Illinois,Co,158,,
391,112,,Scott,Virginia,Co,52,,
392,112,David,Scott,Georgia,Co,230,,
393,112,David,Scott,Georgia,Co,216,,
394,112,,Clarke,New York,Co,330,,
395,112,Brendan F,Boyle,Pennsylvania,Co,315,,
396,112,Maxine,Waters,California,Co,383,,
397,112,,Sewell,Alabama,Co,172,,
398,112,,Kelly,Illinois,Co,177,,
399,112,Al,Green,Texas,Co,132,,
400,112,Al,Green,Texas,Co,128,,
401,112,,Thompson,Mississippi,Co,155,,
402,115,,Curbelo,Florida,Co,45,,
403,115,,Young,Alaska,Co,77,,
404,124,,Johnson,Georgia,Co,0,INTRODUCED,Representative
405,124,,Bishop,Georgia,Co,9,INTRODUCED,Representative
406,124,,Sewell,Alabama,Co,172,INTRODUCED,Representative
407,124,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
408,124,,Price,North Carolina,Co,288,INTRODUCED,Representative
409,124,,Higgins,New York,Co,290,INTRODUCED,Representative
410,124,,Lawson,Florida,Co,249,INTRODUCED,Representative
411,124,,Clarke,New York,Co,330,INTRODUCED,Representative
412,124,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
413,124,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
414,124,David,Scott,Georgia,Co,230,INTRODUCED,Representative
415,124,David,Scott,Georgia,Co,216,INTRODUCED,Representative
416,124,,Wilson,Florida,Co,278,INTRODUCED,Representative
417,124,,Kelly,Illinois,Co,177,INTRODUCED,Representative
418,124,Al,Green,Texas,Co,132,INTRODUCED,Representative
419,124,Al,Green,Texas,Co,128,INTRODUCED,Representative
420,125,,Poe,Texas,Co,129,,
421,125,,Kuster,New Hampshire,Co,345,,
422,135,,Kelly,Illinois,Co,177,,
423,135,,Sewell,Alabama,Co,172,,
424,135,,Bishop,Georgia,Co,9,,
425,135,,Brady,Pennsylvania,Co,316,,
426,135,,Swalwell,California,Co,361,,
427,140,,Murphy,Pennsylvania,Primary,275,ENROLLED,Representative
428,140,,Johnson,Georgia,Co,0,ENROLLED,Representative
