,billid,firstname,lastname,state,primaryorco,billstage,chambername,legistype,civid
2111,158,,Yarmuth,,Co,INTRODUCED,Senator,A BILL,
2112,158,,Cicilline,,Co,INTRODUCED,Senator,A BILL,
2113,158,,Dingell,,Co,INTRODUCED,Senator,A BILL,
2114,158,,Cole,,Co,INTRODUCED,Senator,A BILL,
2115,158,,Pingree,,Co,INTRODUCED,Senator,A BILL,
2116,158,,Comstock,,Co,INTRODUCED,Senator,A BILL,
2117,158,,Massie,,Co,INTRODUCED,Senator,A BILL,
2118,158,,Rush,,Co,INTRODUCED,Senator,A BILL,
2119,158,,Cárdenas,,Co,INTRODUCED,Senator,A BILL,
2120,158,,Yoder,,Co,INTRODUCED,Senator,A BILL,
2121,158,,Moulton,,Co,INTRODUCED,Senator,A BILL,
2122,158,,Himes,,Co,INTRODUCED,Senator,A BILL,
2123,159,,Inhofe,,Primary,ENGROSSED,Representative,AN ACT,
2124,159,,,,Co,ENGROSSED,Representative,AN ACT,
2125,160,,,,Primary,,,,
2126,160,,,,Co,,,,
2127,161,,Tsongas,,Co,,,,
2128,162,,Casey,,Primary,,,,
2129,162,,Collins,,Co,,,,
2130,162,,Feinstein,,Co,,,,
2131,162,,Coons,,Co,,,,
2132,162,,Brown,,Co,,,,
2133,162,,Markey,,Co,,,,
2134,162,,Menendez,,Co,,,,
2135,162,,Isakson,,Co,,,,
2136,162,Van,Hollen,,Co,,,,6
2137,162,,Moran,,Co,,,,
2138,163,,Lee,,Primary,INTRODUCED,Representative,A BILL,
2139,163,,Chabot,,Co,INTRODUCED,Representative,A BILL,
2140,164,,Kihuen,,Primary,INTRODUCED,Senator,A BILL,
2141,164,,Takano,,Co,INTRODUCED,Senator,A BILL,
2142,164,,Lee,,Co,INTRODUCED,Senator,A BILL,
2143,164,,DeLauro,,Co,INTRODUCED,Senator,A BILL,
2144,165,,Reed,,Primary,INTRODUCED,Representative,A BILL,
2145,165,,Casey,,Co,INTRODUCED,Representative,A BILL,
2146,165,,Coons,,Co,INTRODUCED,Representative,A BILL,
2147,166,,Krishnamoorthi,,Primary,,,,
2148,166,Herrera,Beutler,,Co,,,,
2149,166,Blunt,Rochester,,Co,,,,
2150,166,,Norton,,Co,,,,
2151,166,,Cohen,,Co,,,,
2152,166,,Hastings,,Co,,,,
2153,166,,Hanabusa,,Co,,,,
2154,167,,Cohen,,Primary,REFERRED,Senator,AN ACT,
2155,167,,Cooper,,Co,REFERRED,Senator,AN ACT,
2156,168,,,,Primary,ENGROSSED,Representative,AN ACT,
2157,168,,,,Co,ENGROSSED,Representative,AN ACT,
2158,169,,,,Primary,INTRODUCED,Representative,A BILL,
2159,169,,,,Co,INTRODUCED,Representative,A BILL,
2160,170,,Fitzpatrick,,Primary,INTRODUCED,Representative,A BILL,
2161,171,,Conyers,,Co,,,,
2162,171,,Sablan,,Co,,,,
2163,171,,Adams,,Co,,,,
2164,172,,Kaptur,,Primary,,,,
2165,172,,Ros-Lehtinen,,Co,,,,
2166,172,,Perry,,Co,,,,
2167,172,,Sires,,Co,,,,
