,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,legistype
338,101,,Scott,Virginia,Co,52,INTRODUCED,Representative,A BILL
339,101,,Sewell,Alabama,Co,172,INTRODUCED,Representative,A BILL
340,101,,Smith,Washington,Co,357,INTRODUCED,Representative,A BILL
341,101,,Swalwell,California,Co,361,INTRODUCED,Representative,A BILL
342,101,Maxine,Waters,California,Co,383,INTRODUCED,Representative,A BILL
343,101,,Brownley,California,Co,92,INTRODUCED,Representative,A BILL
344,101,,Gonzalez,Texas,Co,98,INTRODUCED,Representative,A BILL
345,101,,Brady,Pennsylvania,Co,316,INTRODUCED,Representative,A BILL
346,101,,Murphy,Florida,Co,264,INTRODUCED,Representative,A BILL
347,101,,Thompson,California,Co,354,INTRODUCED,Representative,A BILL
348,101,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Representative,A BILL
349,101,,Ryan,Ohio,Co,262,INTRODUCED,Representative,A BILL
350,101,,Carson,Indiana,Co,202,INTRODUCED,Representative,A BILL
351,102,,King,New York,Co,336,INTRODUCED,Senator,A BILL
352,102,,Rice,New York,Co,335,INTRODUCED,Senator,A BILL
353,105,Danny K,Davis,Illinois,Primary,187,INTRODUCED,Senator,A BILL
354,105,Danny K,Davis,Illinois,Primary,158,INTRODUCED,Senator,A BILL
355,108,,Smith,Missouri,Co,150,,,
356,108,,Bishop,Georgia,Co,9,,,
357,108,,Carson,Indiana,Co,202,,,
358,108,Judy,Chu,California,Co,388,,,
359,108,,Clarke,New York,Co,330,,,
360,108,Danny K,Davis,Illinois,Co,187,,,
361,108,Danny K,Davis,Illinois,Co,158,,,
362,108,Al,Green,Texas,Co,132,,,
363,108,Al,Green,Texas,Co,128,,,
364,108,,Brown,Maryland,Co,304,,,
365,108,Eddie B,Johnson,Texas,Co,117,,,
366,108,Eddie B,Johnson,Texas,Co,113,,,
367,108,,Johnson,Georgia,Co,0,,,
368,108,,Larson,Connecticut,Co,342,,,
369,108,,Lewis,Georgia,Co,221,,,
370,108,,Sewell,Alabama,Co,172,,,
371,108,,Scott,Virginia,Co,52,,,
372,108,,Thompson,Mississippi,Co,155,,,
373,108,,Wilson,Florida,Co,278,,,
374,108,,Kelly,Illinois,Co,177,,,
375,108,Carolyn B,Maloney,New York,Co,329,,,
376,108,Carolyn B,Maloney,New York,Co,322,,,
377,108,,Graves,Louisiana,Co,152,,,
378,108,,Price,North Carolina,Co,288,,,
379,109,,Smith,Nebraska,Co,442,,,
380,110,,Clarke,New York,Primary,330,,,
381,110,Ted,Lieu,California,Co,378,,,
382,112,,Lewis,Georgia,Co,221,,,
383,112,,Wilson,Florida,Co,278,,,
384,112,,Bishop,Georgia,Co,9,,,
385,112,,Carson,Indiana,Co,202,,,
386,112,,Johnson,Georgia,Co,0,,,
387,112,,Lawson,Florida,Co,249,,,
388,112,,Brown,Maryland,Co,304,,,
389,112,Danny K,Davis,Illinois,Co,187,,,
390,112,Danny K,Davis,Illinois,Co,158,,,
391,112,,Scott,Virginia,Co,52,,,
392,112,David,Scott,Georgia,Co,230,,,
393,112,David,Scott,Georgia,Co,216,,,
394,112,,Clarke,New York,Co,330,,,
395,112,Brendan F,Boyle,Pennsylvania,Co,315,,,
396,112,Maxine,Waters,California,Co,383,,,
397,112,,Sewell,Alabama,Co,172,,,
